ticker,company_name,sector,industry,country,market_cap,total_esg_score,environment_score,social_score,governance_score,controversy_level,environment_pillar_score,social_pillar_score,governance_pillar_score,carbon_emissions,water_usage,waste_generation,employee_turnover,diversity_score,board_independence,controversy_score,co2_emissions_per_capita,renewable_energy_pct,forest_area_pct,corruption_index,human_development_index
AAPL,Apple Inc.,Technology,Hardware,Japan,6237338814843.88,73.18340210358879,67.61706556034511,78.1522532435382,73.78088750688303,4,68.21094924484444,63.88312277998735,80.105804895937,4837231.434229742,37578.09852272509,14996.789238305078,12.339060093874954,57.00533919705461,60.13336678711208,0,8.7,7.6,68.5,73,0.925
MSFT,Microsoft Corporation,Technology,IT Services,United States,25513169081803.965,75.59211169314223,90.37807751773754,55.891286107938924,80.50697145375024,0,89.64922474963109,56.29213238759774,62.392062370416205,276813.09707684186,117811.20566877078,46437.93068203876,17.00977020516179,,49.30415125420101,0,15.2,12.6,33.9,67,0.926
GOOGL,Alphabet Inc.,Technology,Hardware,France,72086673286901.47,84.58225824085011,81.35134457530147,83.67217878633511,88.72325136091374,1,55.76537816236145,67.4574948510209,57.36642209928056,800706871.2451507,20538.89831675035,228344.75069497243,17.30712977556718,64.05186210386931,75.36287502485716,2,4.6,11.7,31.5,69,0.903
AMZN,Amazon.com Inc.,Technology,Software,United States,1529473067352.022,78.23324044254208,67.4798164137199,,83.27862638184918,0,52.99298572051458,67.29781154633747,46.78568827553168,5772733.06323768,196726.66897644018,12409.496190120992,13.949933978537366,52.777456577866836,52.2180568819191,2,15.2,12.6,33.9,67,0.926
META,Meta Platforms Inc.,Technology,Software,United States,214220726622449.44,72.22047555794343,73.19575498081748,74.483782033446,68.98188965956682,1,78.19684076682206,86.19806734973366,53.35435644980949,1213775.0382348504,34393.99528179221,12881.645643646758,23.270382030526413,82.39126955653413,,0,15.2,12.6,33.9,67,0.926
NVDA,NVIDIA Corporation,Technology,Hardware,Canada,4445223581813.323,75.36138183615566,67.66134000194829,84.92630520918671,73.49650029733196,0,60.57921167438145,78.99270510830526,73.81804310272862,5070972.223476529,422596.6209520741,15699.138612486946,16.816184996273318,,83.2778025360129,0,15.4,18.9,38.7,77,0.936
TSLA,Tesla Inc.,Technology,Hardware,Germany,5461248136593.014,75.63666654827774,71.94365081705081,70.05537555136634,84.91097327641606,1,60.16464803854426,25.75175118419414,47.82125233371412,60594886.340789124,24986.40449202841,199613.20073140782,12.23412150738204,48.93814116378711,87.96051393905817,0,8.5,17.4,32.7,80,0.947
INTC,Intel Corporation,Technology,Semiconductors,South Korea,11100512535736.057,71.96237919397677,,67.15901754715509,,0,66.3861752095365,68.36147713458028,67.41938802505095,5516649.17315817,1285928.2643524732,23861.095015840594,12.376104225733348,90.01691258223609,75.35611963977148,2,12.3,2.7,63.9,62,0.925
CSCO,Cisco Systems,Technology,Software,India,55358997823690.93,69.92141788899148,57.82132545374605,78.38380203665524,73.5591261765732,0,86.77641853758712,95.0,74.05851922296374,,73075.3922536105,112649.38959786107,9.950148546134493,65.11598841655965,68.36940144300863,2,1.9,9.8,24.1,40,0.645
ORCL,Oracle Corporation,Technology,Semiconductors,China,1257250116865.6606,75.50451907213154,72.4843486394475,81.12395185846604,72.90525671848108,0,74.1060379824074,57.72870178698672,78.61859987338023,7000129.862146479,123877.20619526389,85255.86651739693,,74.00766736912881,60.75681937968294,2,7.4,12.4,23.0,42,0.768
JPM,JPMorgan Chase,Financial Services,Asset Management,United Kingdom,23388236876986.957,75.5480046719798,59.93736498691174,72.87233162323584,93.83431740579182,2,65.25789293301736,42.55028914370061,64.05698476346026,4708127.130393285,95024.11951398251,47177.04807175143,8.12344715209785,71.53518322433862,42.04318619362532,2,5.4,13.8,13.1,77,0.932
BAC,Bank of America,Financial Services,Insurance,United States,1026585534601830.5,70.48593630547789,66.26246629165416,52.72295399568064,,0,62.50675945989194,79.56634830340762,70.92524061890406,1427795.4423701088,73903.86050829927,543.9042968673821,,,85.00832338994533,3,15.2,12.6,33.9,67,0.926
WFC,Wells Fargo,Financial Services,Banking,Germany,245643564996426.06,65.98951388749191,54.50563812032494,54.023366501843086,89.43953704030771,2,89.68614423127445,41.96643041279435,57.116586631804466,,745695.8311512335,19905.261142732088,18.21830481123172,63.42599475234745,85.54989951407829,0,8.5,17.4,32.7,80,0.947
GS,Goldman Sachs,Financial Services,Banking,China,1861475611366004.8,68.10779117135718,54.960942356404146,76.67374271577593,72.68868844189144,2,46.33178597935248,51.74580397711133,83.05486956071782,12623485.605468415,139466.91842278198,850950.4377334926,14.423176623618804,50.83921802619771,56.36919030508878,2,7.4,12.4,23.0,42,0.768
MS,Morgan Stanley,Financial Services,Investment Banking,France,1071083153112.864,65.88076977251079,66.27976537891016,60.2253664950743,71.13717744354791,1,50.50010648214875,66.9540720977798,82.39801954382858,3082783.732737264,145789.23374581287,12893.149386560379,18.695612145698316,86.58728015005676,78.76165395465554,0,4.6,11.7,31.5,69,0.903
C,Citigroup,Financial Services,Investment Banking,United States,164021186520802.3,62.93394613425713,45.88085276047145,71.62844182958311,71.29254381271681,3,47.186150757880874,56.73615351520792,74.61100021649148,1181312.6247183299,15758.462337019804,131703.0357585456,22.161505387601352,63.561691156281874,65.11868288117067,2,15.2,12.6,33.9,67,0.926
JNJ,Johnson & Johnson,Healthcare,Biotechnology,United States,84988744819255.0,73.58725724316092,,95.0,71.49003771596827,0,72.38368900369078,43.297655964846776,64.84858761066016,2898413.4294007337,655937.0306287446,5303.60853586347,14.638388520371779,41.82328718808854,76.12227308959794,4,15.2,12.6,33.9,67,0.926
PFE,Pfizer Inc.,Healthcare,Biotechnology,United Kingdom,79683408024333.23,72.12318159753733,,76.18184402611385,70.20903892405107,1,70.5663764733214,54.72781431188152,72.89718066559927,212101.51398606156,645244.7541935904,83288.22772016205,15.799777393104401,61.07558803830851,80.37766364516067,2,5.4,13.8,13.1,77,0.932
UNH,UnitedHealth Group,Healthcare,Biotechnology,United States,1779273079313.7607,76.79377797807622,75.03310659231632,74.64859893635902,80.69962840555333,1,56.37035300433507,65.49814342964132,79.04160290247104,7745228.947242366,1553549.545209116,558775.1041114969,21.046498303835577,52.015377239313366,,0,15.2,12.6,33.9,67,0.926
ABBV,AbbVie Inc.,Healthcare,Biotechnology,Canada,356057212813689.2,68.50025952584932,68.27602852185326,67.76895669901124,69.45579335668344,0,82.6289868730356,49.36852225512886,69.06453648953521,10816226.744398039,35053.76052122287,14958.765895969142,12.202778442949977,41.74222696334833,63.540967521612295,1,15.4,18.9,38.7,77,0.936
MRK,Merck & Co.,Healthcare,Healthcare Services,China,183967155331487.97,74.21240699248325,64.53288346651077,89.02555841652469,69.07877909441429,0,56.441667824550535,65.82306550058442,81.02979302107747,36887.697940986116,17271.08389432382,32665.993132411335,18.722432032496865,70.86242160592374,87.88677366964447,2,7.4,12.4,23.0,42,0.768
