ticker,environment_pillar_score,social_pillar_score,governance_pillar_score,carbon_emissions,water_usage,waste_generation,employee_turnover,diversity_score,board_independence,controversy_score
AAPL,68.21094924484444,63.88312277998735,80.105804895937,4837231.434229742,37578.09852272509,14996.789238305078,12.339060093874954,57.00533919705461,60.13336678711208,0
MSFT,89.64922474963109,56.29213238759774,62.392062370416205,276813.09707684186,117811.20566877078,46437.93068203876,17.00977020516179,86.74729659635875,49.30415125420101,0
GOOGL,55.76537816236145,67.4574948510209,57.36642209928056,800706871.2451507,20538.89831675035,228344.75069497243,17.30712977556718,64.05186210386931,75.36287502485716,2
AMZN,52.99298572051458,67.29781154633747,46.78568827553168,5772733.06323768,196726.66897644018,12409.496190120992,13.949933978537366,52.777456577866836,52.2180568819191,2
META,78.19684076682206,86.19806734973366,53.35435644980949,1213775.0382348504,34393.99528179221,12881.645643646758,23.270382030526413,82.39126955653413,68.53770408459276,0
NVDA,60.57921167438145,78.99270510830526,73.81804310272862,5070972.223476529,422596.6209520741,15699.138612486946,16.816184996273318,66.47123517435044,83.2778025360129,0
TSLA,60.16464803854426,25.75175118419414,47.82125233371412,60594886.340789124,24986.40449202841,199613.20073140782,12.23412150738204,48.93814116378711,87.96051393905817,0
INTC,66.3861752095365,68.36147713458028,67.41938802505095,5516649.17315817,1285928.2643524732,23861.095015840594,12.376104225733348,90.01691258223609,75.35611963977148,2
CSCO,86.77641853758712,95.0,74.05851922296374,907593.29582533,73075.3922536105,112649.38959786107,9.950148546134493,65.11598841655965,68.36940144300863,2
ORCL,74.1060379824074,57.72870178698672,78.61859987338023,7000129.862146479,123877.20619526389,85255.86651739693,14.655225320568118,74.00766736912881,60.75681937968294,2
JPM,65.25789293301736,42.55028914370061,64.05698476346026,4708127.130393285,95024.11951398251,47177.04807175143,8.12344715209785,71.53518322433862,42.04318619362532,2
BAC,62.50675945989194,79.56634830340762,70.92524061890406,1427795.4423701088,73903.86050829927,543.9042968673821,22.55665940334122,95.0,85.00832338994533,3
WFC,89.68614423127445,41.96643041279435,57.116586631804466,2584532.815848954,745695.8311512335,19905.261142732088,18.21830481123172,63.42599475234745,85.54989951407829,0
GS,46.33178597935248,51.74580397711133,83.05486956071782,12623485.605468415,139466.91842278198,850950.4377334926,14.423176623618804,50.83921802619771,56.36919030508878,2
